356.000	0.284	0.954	1.034	0.871
357.000	0.284	0.957	1.046	0.870
358.000	0.286	0.971	1.066	0.881
359.000	0.289	0.971	1.055	0.878
360.000	0.287	0.974	1.054	0.890
361.000	0.292	0.976	1.084	0.892
362.000	0.292	0.985	1.079	0.907
363.000	0.292	0.983	1.093	0.903
364.000	0.292	0.982	1.086	0.897
365.000	0.295	0.986	1.088	0.910
366.000	0.296	0.998	1.088	0.912
367.000	0.299	0.996	1.115	0.918
368.000	0.299	0.997	1.107	0.913
369.000	0.301	1.013	1.108	0.927
370.000	0.299	1.010	1.122	0.926
371.000	0.304	1.011	1.105	0.929
372.000	0.305	1.018	1.114	0.934
373.000	0.308	1.023	1.123	0.944
374.000	0.305	1.029	1.121	0.938
375.000	0.304	1.019	1.130	0.945
376.000	0.305	1.039	1.135	0.957
